timestamp,device,from,to
20:48:00.816,audio,ABSENT,OK
20:48:10.075,companion,OK,ABSENT
20:48:10.513,audio,OK,ABSENT
20:48:12.651,companion,ABSENT,OK
20:48:13.091,audio,ABSENT,OK
20:48:22.243,companion,OK,ABSENT
20:48:22.645,audio,OK,ABSENT
20:48:24.735,companion,ABSENT,OK
20:48:25.210,audio,ABSENT,OK
20:48:34.402,companion,OK,ABSENT
20:48:34.812,audio,OK,ABSENT
20:48:36.803,companion,ABSENT,OK
20:48:42.070,audio,ABSENT,OK
20:48:57.902,companion,OK,ABSENT
20:48:58.377,audio,OK,ABSENT
20:49:00.456,companion,ABSENT,OK
20:49:00.895,audio,ABSENT,OK
20:49:05.704,audio,OK,ABSENT
20:49:08.395,audio,ABSENT,OK
20:49:12.720,companion,OK,ABSENT
20:49:13.131,audio,OK,ABSENT
20:49:15.316,companion,ABSENT,OK
20:49:15.789,audio,ABSENT,OK
20:49:20.028,companion,OK,ABSENT
20:49:20.496,audio,OK,ABSENT
20:49:22.437,companion,ABSENT,OK
20:49:24.790,companion,OK,ABSENT
20:49:33.981,companion,ABSENT,OK
20:49:34.482,audio,ABSENT,OK
20:49:38.654,companion,OK,ABSENT
20:49:39.094,audio,OK,ABSENT
20:49:43.302,companion,ABSENT,OK
20:49:43.717,audio,ABSENT,PROBLEM:Error
20:49:48.439,audio,PROBLEM:Error,OK
20:49:52.793,companion,OK,ABSENT
20:49:53.259,audio,OK,ABSENT
20:49:55.167,companion,ABSENT,OK
20:49:57.992,audio,ABSENT,OK
20:50:18.727,companion,OK,ABSENT
20:50:19.169,audio,OK,ABSENT
20:50:21.185,companion,ABSENT,OK
20:50:21.581,audio,ABSENT,PROBLEM:Error
20:50:23.467,companion,OK,ABSENT
20:50:23.934,audio,PROBLEM:Error,ABSENT
20:50:26.024,companion,ABSENT,OK
20:50:26.440,audio,ABSENT,OK
20:50:35.451,companion,OK,ABSENT
20:50:35.861,audio,OK,ABSENT
20:50:37.746,companion,ABSENT,OK
20:50:38.145,audio,ABSENT,OK
20:50:47.470,audio,OK,ABSENT
20:50:52.993,companion,OK,ABSENT
20:50:58.707,companion,ABSENT,OK
20:50:59.061,audio,ABSENT,OK
20:51:05.068,audio,OK,ABSENT
20:51:07.208,audio,ABSENT,OK
20:51:10.720,companion,OK,ABSENT
20:51:11.103,audio,OK,ABSENT
20:51:12.839,companion,ABSENT,OK
20:51:13.201,audio,ABSENT,OK
20:51:17.094,audio,OK,ABSENT
20:51:19.045,audio,ABSENT,PROBLEM:Error
20:51:20.597,companion,OK,ABSENT
20:51:20.944,audio,PROBLEM:Error,ABSENT
20:51:22.647,companion,ABSENT,OK
20:51:23.053,audio,ABSENT,OK
20:51:26.566,companion,OK,ABSENT
20:51:26.913,audio,OK,ABSENT
20:51:28.609,companion,ABSENT,OK
20:51:29.008,audio,ABSENT,OK
20:51:32.548,companion,OK,ABSENT
20:51:32.883,audio,OK,ABSENT
20:51:38.423,companion,ABSENT,OK
20:51:38.765,audio,ABSENT,OK
20:51:42.824,audio,OK,ABSENT
20:51:45.155,audio,ABSENT,OK
20:51:49.126,companion,OK,ABSENT
20:51:49.505,audio,OK,ABSENT
20:51:51.397,companion,ABSENT,OK
20:51:51.800,audio,ABSENT,OK
20:52:29.594,audio,OK,ABSENT
20:52:31.216,companion,OK,ABSENT
20:52:37.574,companion,ABSENT,OK
20:52:37.982,audio,ABSENT,OK
20:52:54.604,companion,OK,ABSENT
20:52:55.038,audio,OK,ABSENT
20:52:57.064,companion,ABSENT,OK
20:52:57.495,audio,ABSENT,OK
20:53:02.077,audio,OK,ABSENT
20:53:06.886,audio,ABSENT,OK
20:53:11.070,companion,OK,ABSENT
20:53:11.461,audio,OK,ABSENT
20:53:13.404,companion,ABSENT,OK
20:53:18.909,audio,ABSENT,OK
20:53:22.471,hub-usb2,OK,ABSENT
20:53:22.872,companion,OK,ABSENT
20:53:23.312,audio,OK,ABSENT
20:53:24.943,hub-usb2,ABSENT,OK
20:53:25.377,companion,ABSENT,OK
20:53:25.923,audio,ABSENT,OK
20:53:29.667,companion,OK,ABSENT
20:53:30.053,audio,OK,ABSENT
20:53:31.909,companion,ABSENT,OK
20:53:32.285,audio,ABSENT,OK
20:53:36.375,audio,OK,ABSENT
20:53:38.483,audio,ABSENT,OK
20:53:42.433,audio,OK,ABSENT
20:53:44.567,audio,ABSENT,OK
20:53:53.968,companion,OK,ABSENT
20:53:54.321,audio,OK,ABSENT
20:53:56.021,companion,ABSENT,OK
20:53:57.612,hub-usb2,OK,ABSENT
20:53:57.972,companion,OK,ABSENT
20:53:59.734,hub-usb2,ABSENT,OK
20:54:00.083,companion,ABSENT,OK
20:54:02.117,companion,OK,ABSENT
20:54:04.340,companion,ABSENT,OK
20:54:04.711,audio,ABSENT,OK
20:54:10.464,companion,OK,ABSENT
20:54:10.853,audio,OK,ABSENT
20:54:12.606,companion,ABSENT,OK
20:54:14.725,companion,OK,ABSENT
20:54:24.707,companion,ABSENT,OK
20:54:25.106,audio,ABSENT,OK
20:54:28.360,hub-usb2,OK,ABSENT
20:54:28.703,companion,OK,ABSENT
20:54:29.045,audio,OK,ABSENT
20:54:30.423,hub-usb2,ABSENT,OK
20:54:30.755,companion,ABSENT,OK
20:54:32.713,companion,OK,ABSENT
20:54:36.711,companion,ABSENT,OK
20:54:41.206,audio,ABSENT,OK
20:54:46.172,audio,OK,ABSENT
20:54:48.835,audio,ABSENT,OK
20:54:50.835,companion,OK,ABSENT
20:54:51.263,audio,OK,ABSENT
20:54:53.313,companion,ABSENT,OK
20:54:55.738,companion,OK,ABSENT
20:54:56.295,audio,ABSENT,OK
20:54:58.290,companion,ABSENT,OK
20:55:00.721,companion,OK,ABSENT
20:55:01.144,audio,OK,ABSENT
20:55:02.706,hub-usb2,OK,ABSENT
20:55:05.286,hub-usb2,ABSENT,OK
20:55:05.733,companion,ABSENT,OK
20:55:06.148,audio,ABSENT,OK
20:55:08.133,companion,OK,ABSENT
20:55:08.595,audio,OK,ABSENT
20:55:12.804,companion,ABSENT,OK
20:55:13.274,audio,ABSENT,OK
20:55:19.607,audio,OK,ABSENT
20:55:21.750,audio,ABSENT,OK
20:55:33.969,audio,OK,ABSENT
20:55:40.228,audio,ABSENT,OK
20:55:52.690,audio,OK,ABSENT
20:55:54.782,audio,ABSENT,OK
20:55:56.785,audio,OK,ABSENT
20:56:02.639,companion,OK,ABSENT
20:56:06.853,companion,ABSENT,OK
20:56:07.248,audio,ABSENT,OK
20:56:11.352,audio,OK,ABSENT
20:56:13.060,companion,OK,ABSENT
20:56:19.801,companion,ABSENT,OK
20:56:20.183,audio,ABSENT,OK
20:56:23.980,companion,OK,ABSENT
20:56:24.382,audio,OK,ABSENT
20:56:26.076,companion,ABSENT,OK
20:56:28.062,companion,OK,ABSENT
20:56:38.440,companion,ABSENT,OK
20:56:38.805,audio,ABSENT,OK
20:56:42.413,companion,OK,ABSENT
20:56:42.796,audio,OK,ABSENT
20:56:44.435,companion,ABSENT,OK
20:56:46.374,companion,OK,ABSENT
20:56:50.399,companion,ABSENT,OK
20:56:50.843,audio,ABSENT,OK
20:56:59.067,audio,OK,ABSENT
20:57:01.294,audio,ABSENT,OK
20:57:05.074,companion,OK,ABSENT
20:57:05.464,audio,OK,ABSENT
20:57:07.299,companion,ABSENT,OK
20:57:07.690,audio,ABSENT,OK
20:57:09.448,companion,OK,ABSENT
20:57:09.822,audio,OK,ABSENT
20:57:11.616,companion,ABSENT,OK
20:57:12.028,audio,ABSENT,OK
20:57:18.066,audio,OK,PROBLEM:Error
20:57:21.739,companion,OK,ABSENT
20:57:22.191,audio,PROBLEM:Error,ABSENT
20:57:23.970,companion,ABSENT,OK
20:57:24.360,audio,ABSENT,OK
20:57:34.609,audio,OK,ABSENT
20:57:36.763,audio,ABSENT,OK
20:57:46.663,companion,OK,ABSENT
20:57:47.000,audio,OK,ABSENT
20:57:50.673,companion,ABSENT,OK
20:57:51.051,audio,ABSENT,OK
20:57:54.733,companion,OK,ABSENT
20:57:55.092,audio,OK,ABSENT
20:57:58.738,companion,ABSENT,OK
20:58:01.261,audio,ABSENT,OK
20:58:05.603,companion,OK,ABSENT
20:58:06.052,audio,OK,ABSENT
20:58:08.225,companion,ABSENT,OK
20:58:08.676,audio,ABSENT,OK
20:58:15.626,audio,OK,ABSENT
20:58:17.972,audio,ABSENT,OK
20:58:26.169,audio,OK,ABSENT
20:58:30.276,audio,ABSENT,OK
20:58:36.387,audio,OK,ABSENT
20:58:38.516,audio,ABSENT,OK
20:58:42.688,audio,OK,ABSENT
20:58:44.848,audio,ABSENT,PROBLEM:Error
20:58:48.961,audio,PROBLEM:Error,OK
20:58:54.774,companion,OK,ABSENT
20:58:55.137,audio,OK,ABSENT
20:58:56.956,companion,ABSENT,OK
20:58:57.337,audio,ABSENT,OK
20:59:00.731,hub-usb2,OK,ABSENT
20:59:01.110,companion,OK,ABSENT
20:59:01.483,audio,OK,ABSENT
20:59:02.970,hub-usb2,ABSENT,OK
20:59:03.329,companion,ABSENT,OK
20:59:05.405,companion,OK,ABSENT
20:59:07.654,companion,ABSENT,OK
20:59:08.068,audio,ABSENT,OK
20:59:11.837,companion,OK,ABSENT
20:59:12.238,audio,OK,ABSENT
20:59:13.918,companion,ABSENT,OK
20:59:15.939,companion,OK,ABSENT
20:59:24.297,companion,ABSENT,OK
20:59:24.748,audio,ABSENT,OK
20:59:26.850,audio,OK,ABSENT
20:59:31.019,audio,ABSENT,OK
20:59:36.674,companion,OK,ABSENT
20:59:37.062,audio,OK,ABSENT
20:59:38.721,companion,ABSENT,OK
20:59:40.774,companion,OK,ABSENT
20:59:42.935,companion,ABSENT,OK
20:59:43.293,audio,ABSENT,OK
20:59:52.958,companion,OK,ABSENT
20:59:53.342,audio,OK,ABSENT
21:00:01.009,companion,ABSENT,OK
21:00:01.430,audio,ABSENT,OK
21:00:05.336,companion,OK,ABSENT
21:00:05.702,audio,OK,ABSENT
21:00:07.542,companion,ABSENT,OK
21:00:07.943,audio,ABSENT,OK
21:00:15.375,companion,OK,ABSENT
21:00:15.740,audio,OK,ABSENT
21:00:17.357,companion,ABSENT,OK
21:00:19.303,companion,OK,ABSENT
21:00:19.673,audio,ABSENT,OK
21:00:21.339,companion,ABSENT,OK
21:00:25.075,companion,OK,ABSENT
21:00:25.410,audio,OK,ABSENT
21:00:27.101,companion,ABSENT,OK
21:00:27.439,audio,ABSENT,OK
21:00:48.420,companion,OK,ABSENT
21:00:48.779,audio,OK,ABSENT
21:00:52.256,companion,ABSENT,OK
21:00:54.706,audio,ABSENT,OK
21:01:00.313,audio,OK,ABSENT
21:01:02.409,audio,ABSENT,OK
21:01:06.345,companion,OK,ABSENT
21:01:06.717,audio,OK,ABSENT
21:01:08.358,companion,ABSENT,OK
21:01:08.661,audio,ABSENT,OK
21:01:20.654,companion,OK,ABSENT
21:01:20.993,audio,OK,ABSENT
21:01:22.603,companion,ABSENT,OK
21:01:22.941,audio,ABSENT,OK
21:01:39.272,companion,OK,ABSENT
21:01:39.834,audio,OK,ABSENT
21:01:42.056,companion,ABSENT,OK
21:01:45.082,audio,ABSENT,OK
21:01:48.797,companion,OK,ABSENT
21:01:49.136,audio,OK,ABSENT
21:01:50.820,companion,ABSENT,OK
21:01:51.150,audio,ABSENT,OK
21:02:00.760,audio,OK,ABSENT
21:02:02.873,audio,ABSENT,OK
21:02:06.817,audio,OK,ABSENT
21:02:10.416,companion,OK,ABSENT
21:02:10.784,audio,ABSENT,OK
21:02:12.470,companion,ABSENT,OK
21:02:16.244,companion,OK,ABSENT
21:02:16.619,audio,OK,ABSENT
21:02:18.231,companion,ABSENT,OK
21:02:20.140,companion,OK,ABSENT
21:02:20.516,audio,ABSENT,OK
21:02:22.199,companion,ABSENT,OK
21:02:26.036,companion,OK,ABSENT
21:02:26.383,audio,OK,ABSENT
21:02:28.058,companion,ABSENT,OK
21:02:28.434,audio,ABSENT,OK
21:02:34.126,audio,OK,ABSENT
21:02:36.135,audio,ABSENT,OK
21:02:40.417,audio,OK,ABSENT
21:02:42.544,audio,ABSENT,OK
21:03:08.715,hub-usb2,OK,ABSENT
21:03:09.061,companion,OK,ABSENT
21:03:09.394,audio,OK,ABSENT
21:03:10.758,hub-usb2,ABSENT,OK
21:03:11.087,companion,ABSENT,OK
21:03:12.989,companion,OK,ABSENT
21:03:15.013,companion,ABSENT,OK
21:03:15.358,audio,ABSENT,OK
21:03:19.240,audio,OK,ABSENT
21:03:21.252,audio,ABSENT,OK
21:03:30.860,companion,OK,ABSENT
21:03:31.228,audio,OK,ABSENT
21:03:32.891,companion,ABSENT,OK
21:03:33.280,audio,ABSENT,OK
21:03:44.638,companion,OK,ABSENT
21:03:44.964,audio,OK,ABSENT
21:03:52.589,companion,ABSENT,OK
21:03:54.522,companion,OK,ABSENT
21:03:56.596,companion,ABSENT,OK
21:03:56.969,audio,ABSENT,OK
21:04:18.111,audio,OK,ABSENT
21:04:20.196,audio,ABSENT,OK
21:04:30.186,audio,OK,ABSENT
21:04:32.294,audio,ABSENT,OK
21:04:36.273,audio,OK,ABSENT
21:04:38.398,audio,ABSENT,OK
21:04:42.420,audio,OK,ABSENT
21:04:45.980,companion,OK,ABSENT
21:04:55.663,companion,ABSENT,OK
21:04:56.047,audio,ABSENT,OK
21:04:59.592,companion,OK,ABSENT
21:04:59.926,audio,OK,ABSENT
21:05:01.704,companion,ABSENT,OK
21:05:02.087,audio,ABSENT,OK
21:05:05.760,companion,OK,ABSENT
21:05:06.091,audio,OK,ABSENT
21:05:11.748,companion,ABSENT,OK
21:05:12.130,audio,ABSENT,OK
21:05:21.646,audio,OK,ABSENT
21:05:23.664,audio,ABSENT,OK
21:05:27.612,audio,OK,ABSENT
21:05:29.629,audio,ABSENT,OK
21:05:35.601,audio,OK,ABSENT
21:05:37.709,audio,ABSENT,OK
21:05:41.270,companion,OK,ABSENT
21:05:41.646,audio,OK,ABSENT
21:05:43.420,companion,ABSENT,OK
21:05:43.819,audio,ABSENT,OK
21:05:51.233,companion,OK,ABSENT
21:05:51.634,audio,OK,ABSENT
21:05:53.393,companion,ABSENT,OK
21:05:53.746,audio,ABSENT,OK
21:05:57.705,audio,OK,ABSENT
21:05:59.749,audio,ABSENT,OK
21:06:01.376,companion,OK,ABSENT
21:06:01.729,audio,OK,ABSENT
21:06:03.522,companion,ABSENT,OK
21:06:03.895,audio,ABSENT,OK
21:06:09.560,companion,OK,ABSENT
21:06:09.942,audio,OK,ABSENT
21:06:11.656,companion,ABSENT,OK
21:06:12.014,audio,ABSENT,OK
21:06:34.909,audio,OK,ABSENT
21:06:36.980,audio,ABSENT,OK
21:06:46.232,companion,OK,ABSENT
21:06:46.588,audio,OK,ABSENT
21:06:48.280,companion,ABSENT,OK
21:06:48.656,audio,ABSENT,OK
21:06:52.219,companion,OK,ABSENT
21:06:52.567,audio,OK,ABSENT
21:06:54.226,companion,ABSENT,OK
21:06:56.146,companion,OK,ABSENT
21:06:58.203,companion,ABSENT,OK
21:06:58.596,audio,ABSENT,OK
21:07:10.436,audio,OK,ABSENT
21:07:12.670,audio,ABSENT,OK
21:07:18.796,audio,OK,ABSENT
21:07:20.949,audio,ABSENT,OK
21:07:24.899,audio,OK,ABSENT
21:07:26.931,audio,ABSENT,OK
21:07:36.876,audio,OK,ABSENT
21:07:42.892,audio,ABSENT,OK
21:07:54.009,companion,OK,ABSENT
21:07:54.365,audio,OK,ABSENT
21:07:56.088,companion,ABSENT,OK
21:07:56.479,audio,ABSENT,OK
21:08:01.988,companion,OK,ABSENT
21:08:02.372,audio,OK,ABSENT
21:08:04.173,companion,ABSENT,OK
21:08:04.562,audio,ABSENT,OK
